分类级别,排名,表单名称,表单描述,延迟时间,延迟场景,可交易性,交易提示,本地解析方案,解析难度及说明,付费方案及价格
"S级 (财报核心)","1","8-K Item 2.02","业绩预告/正式财报发布","盘前/盘后即时","发布当日","极高","最大单日波动来源","HTML press release内嵌","难: 格式各异，需LLM提取EPS/Revenue","Intrinio $75/mo+ — 标准化EPS/Revenue，含预期差
Zacks $249/mo — 分析师预期+实际值，surprise率
Polygon.io $29/mo+ — 财报日历+基础EPS结构化"
"S级 (财报核心)","2","10-Q","季度财务报告","40天(大型)/45天","季末后SEC截止日","极高","深度财务因子来源","iXBRL (Inline XBRL)","中: arelle/py-xbrl解析，tag覆盖率~90%","Sharadar/Nasdaq Data Link $69/mo — 标准化200+财务指标，推荐首选
Intrinio $75/mo+ — 含计算指标，API友好
Simfin $10/mo — 性价比高，覆盖美股主流标的"
"S级 (财报核心)","3","10-K","年度财务报告","60天(大型)/90天","财年末后","高","年度基准因子，MD&A文本信号","iXBRL + 长篇HTML文本","中难: XBRL同10-Q；MD&A需NLP","Sharadar — 同10-Q，年度数据更完整
Intrinio — 含10-K全文搜索API
FinancialModelingPrep $19/mo — 含MD&A文本提取端点"
"A级 (高频事件)","4","Form 4","内部人交易申报","2 交易日","交易发生后","极高","知情人买卖，最强持续alpha","EDGAR XML (ownership.xsd)","易: lxml直解，字段固定","Polygon.io $29/mo+ — 结构化JSON，含交易类型/均价
Unusual Whales $50/mo — 实时推送+情绪标签
Quiver Quant $25/mo — 含买卖信号整合"
"A级 (高频事件)","5","8-K Item 1.01","重大协议签署","4 交易日","签署后","高","并购/战略合作先兆","HTML文本，非结构化","难: 需LLM提取协议方/金额/条款","Intrinio — 8-K事件分类API，item号过滤
Benzinga Pro $99/mo — 实时M&A事件流"
"A级 (高频事件)","6","8-K Item 2.01","资产收购/出售完成","4 交易日","交割完成后","高","并购完成，股价重新定价","HTML，item标题定位","中: BeautifulSoup定位+金额提取","Intrinio — M&A事件分类+金额字段
Benzinga Pro — 并购完成事件推送"
"A级 (高频事件)","7","8-K Item 4.02","财务报表不可依赖","4 交易日","重述发现后","高","财务重述，强负面信号","HTML，item编号检测","中: BeautifulSoup定位item 4.02","Intrinio — 8-K item分类，重述类型字段
Benzinga Pro — 含重述标注的事件流"
"A级 (高频事件)","8","8-K Item 4.01","审计师变更","4 交易日","变更后","高","非自愿变更=治理红旗","HTML文本","中: 需区分主动/被动变更","Intrinio — 含变更原因结构化字段
Benzinga Pro — 实时事件推送"
"A级 (高频事件)","9","13D / 13G","大股东/激进投资者>5%","10天(13D) / 45天(13G)","穿越5%后","极高","激进投资者入场，强催化剂","非结构化HTML文本","难: 需regex+NLP提取持仓量/意图","Intrinio $75/mo+ — 结构化JSON，含持仓diff
Quiver Quant $25/mo — 激进投资者专项汇总"
"B级 (中期因子)","10","DEF 14A","年度代理声明书(股东大会)","股东大会前40天","年度提交","中高","高管薪酬/股权激励因子","HTML长文档","难: 需LLM提取薪酬表/股权计划","Intrinio — 高管薪酬结构化API
Equilar 企业价 — 薪酬基准专项，贵但精准"
